RCP,year,median,upper,lower
rcp85,2038,0.3189286821264474,0.7509440591080171,-0.17128308819928897
rcp85,2039,0.32786525744374373,0.7755869628934959,-0.16555280083607365
rcp85,2040,0.33176113180136824,0.7632986881660048,-0.20029024731661843
rcp85,2041,0.332811999483571,0.7850759748247657,-0.2206612815199083
rcp85,2042,0.3533706253764741,0.8237300912775201,-0.23516469356560954
rcp85,2043,0.3478156229819689,0.8440048833970336,-0.23335097143434158
rcp85,2044,0.3588295529970935,0.872321040414775,-0.24618931923675885
rcp85,2045,0.3768015316248601,0.8998885911566205,-0.27226049701848626
rcp85,2046,0.37238152851807627,0.90649930721418015,-0.2792085753235785
rcp85,2047,0.3794619663044685,0.896555574383328,-0.290003157150197
rcp85,2048,0.3800349003156427,0.9301093800735749,-0.31315147866056775
rcp85,2049,0.38614776553502494,0.9459133197919807,-0.33173780450217266
rcp85,2050,0.37449886074166727,0.9472228209582216,-0.3546915486319719
rcp85,2051,0.3866394261993733,0.9849508406768769,-0.37435920173075116
rcp85,2052,0.37303058052923177,1.0042870238628818,-0.40072985820956697
rcp85,2053,0.37239852600281864,1.0014499386936186,-0.41243565689194955
rcp85,2054,0.3784027131637764,1.021615362516018,-0.43804416023300624
rcp85,2055,0.3719334462074215,1.0357615813926484,-0.4628206524693548
rcp85,2056,0.36274740686269524,1.0398974607332487,-0.4847890074041988
rcp85,2057,0.36658964901335267,1.0554273697655667,-0.5012542005414005
rcp85,2058,0.3442820778089626,1.0807295444990597,-0.5326888449828857
rcp85,2059,0.3443452399370983,1.0969457102847273,-0.5599621725646123
rcp85,2060,0.3450288733956093,1.1016648975903394,-0.5926838408427522
rcp85,2061,0.33690761400410096,1.1141989333705926,-0.6078536559142156
rcp85,2062,0.34081939241191606,1.110442406865762,-0.6198342771466638
rcp85,2063,0.32299009347121554,1.1108916673188278,-0.6621538628281943
rcp85,2064,0.3177658779501371,1.144129961074313,-0.6907151384526559
rcp85,2065,0.32093998588777595,1.1305601510045549,-0.7095531253114158
rcp85,2066,0.30158410491436527,1.1557617187080211,-0.7443139751623475
rcp85,2067,0.28769279188404795,1.1540587964387135,-0.7827857049142865
rcp85,2068,0.27696246041044503,1.1685961922424914,-0.8073547965231845
rcp85,2069,0.24798187508328695,1.1587035117470303,-0.8614730974150763
rcp85,2070,0.2512137265645116,1.1618468118990213,-0.8483098167259293
rcp85,2071,0.24482143295847436,1.1812522153491538,-0.8927902777385481
rcp85,2072,0.21068856359639554,1.1628472824128755,-0.9631202934648356
rcp85,2073,0.19684541459350768,1.1627046924441564,-1.005592256867299
rcp85,2074,0.18381161879079144,1.1888775465951473,-1.0149063747090434
rcp85,2075,0.16555066147267894,1.1692951313432463,-1.0768487171900665
rcp85,2076,0.1408549956849683,1.1820465439991632,-1.116620544833607
rcp85,2077,0.11647299851547288,1.177476977969748,-1.1466211218798126
rcp85,2078,0.12250435786632963,1.1792329473822036,-1.196500044859226
rcp85,2079,0.09511175034281649,1.179992272549439,-1.224975782194667
rcp85,2080,0.08410392013542811,1.1693012336983233,-1.2482712348890277
rcp85,2081,0.05599033140252274,1.1799997174146486,-1.3167894075893813
rcp85,2082,0.042736450418352945,1.1771452042641155,-1.354706605915848
rcp85,2083,0.033606077972127224,1.1765198501064247,-1.3945064009110602
rcp85,2084,0.01076767446730642,1.1785088965743646,-1.4368364747030342
rcp85,2085,-0.029008216792782093,1.1531980079794404,-1.4999252032541734
rcp85,2086,-0.0629039474995956,1.126404387550053,-1.5561181008478722
rcp85,2087,-0.0621857210455623,1.1459496630578212,-1.5933623351010167
rcp85,2088,-0.09502499910871975,1.1314742699363483,-1.6208086054995887
rcp85,2089,-0.10879646465259896,1.128609844573477,-1.6930893381424366
rcp85,2090,-0.13355272875245916,1.1106061634946527,-1.7341188651431085
rcp85,2091,-0.15499612123781503,1.1017837725953525,-1.7942184504145202
rcp85,2092,-0.17607285559436292,1.0906038111706058,-1.838817612785024
rcp85,2093,-0.20347748353899675,1.0677719597141109,-1.8880516282006556
rcp85,2094,-0.24879260915800216,1.0646310103367131,-1.9548786317498572
rcp85,2095,-0.2725424023782388,1.046290075151198,-1.965976951821865
rcp85,2096,-0.31434793456375587,1.0331926658265824,-2.054389326582625
rcp85,2097,-0.33330717338626314,0.977222641969343,-2.064261449373172
rcp85,2098,-0.37498958864165743,0.9755121085423013,-2.1617059435335615
rcp85,2099,-0.39936803695037426,0.9918721109664914,-2.235122617952619
rcp85,2100,-0.42287352800849476,0.9529313376239807,-2.2764587386219435
