scenario,year,month,median,upper,lower
hist-nat,1927,May,-0.3965825414119486,0.0829964283947442,-1.013846385911195
hist-nat,1927,Nov,0.9708175140315163,1.5457982846386769,0.44308681992023424
hist-nat,1927,Oct,0.7290308681708062,1.3604892197032086,0.1419190705232623
hist-nat,1927,Sep,5.474732448362829e-5,0.5457167796596221,-0.4540339842004849
hist-nat,1928,Apr,-0.1315678798600377,0.4981573409234109,-0.7839831617479253
hist-nat,1928,Aug,-0.5422214896467281,-0.05961273922499903,-1.1743927198590596
hist-nat,1928,Dec,0.72529957768419,1.2135688328108512,0.29528184500611965
hist-nat,1928,Feb,0.01577342243309232,0.6352307977038246,-0.7006016468448636
hist-nat,1928,Jan,0.38163534263134125,0.9754630714979866,-0.2691137697174196
hist-nat,1928,Jul,-0.9710785919107394,-0.25249307457733083,-1.7891754515427003
hist-nat,1928,Jun,-0.8067425328721214,-0.18597368012869933,-1.5240987323225277
hist-nat,1928,Mar,-0.05026574169216147,0.5813344054927024,-0.7679787119316784
hist-nat,1928,May,-0.3875661535340491,0.09677989061971853,-0.8605896036155392
hist-nat,1928,Nov,0.9359341562080701,1.5575135364271249,0.43516952866837694
hist-nat,1928,Oct,0.6779881893596418,1.3150519694270435,0.14808492244507826
hist-nat,1928,Sep,0.09384012889993976,0.47246802648248015,-0.3150959993844218
hist-nat,1929,Apr,-0.09494807927953985,0.5410112438519485,-0.7703507922024424
hist-nat,1929,Aug,-0.6205371524590291,-0.029599399083827225,-1.251242748759175
hist-nat,1929,Dec,0.7213200553104961,1.2286065144318559,0.28340181256325253
hist-nat,1929,Feb,0.1179466604932422,0.7393222827676695,-0.6247724277697203
